Assignment_ID;DB_Status;DB_Status_Date_Active;DB_Status_Date_Inactive
AID_20260105T163625270297Z_NNPV5LC3NRFQ;Active;05-01-2026 16:36;
AID_20260105T163625288205Z_KLCAVB6GCNAS;Active;05-01-2026 16:36;
AID_20260105T163625305971Z_SMQNL2MKKZBK;Active;05-01-2026 16:36;
AID_20260105T163625323863Z_JBMPWX6WZJAG;Active;05-01-2026 16:36;
AID_20260105T163625339455Z_IEMNDBFMTBC7;Active;05-01-2026 16:36;
AID_20260105T163625358106Z_IC67ZAIKZZAG;Active;05-01-2026 16:36;
AID_20260105T163625413225Z_FDI6AX5JANF3;Active;05-01-2026 16:36;
AID_20260105T163625439654Z_3F6XEIK2D5BA;Active;05-01-2026 16:36;
AID_20260105T163625463478Z_SKDMHD4KZREY;Active;05-01-2026 16:36;
AID_20260105T163625482044Z_EAI47LGGTJH5;Active;05-01-2026 16:36;
AID_20260105T163625498869Z_WK56QOC6ONBO;Active;05-01-2026 16:36;
AID_20260105T163625517894Z_WOJFFWBNHJFP;Active;05-01-2026 16:36;
AID_20260105T163625535001Z_MT5XAKCO5FEA;Active;05-01-2026 16:36;
AID_20260105T163625550245Z_6ERTM6LJOFBE;Active;05-01-2026 16:36;
AID_20260105T163625566778Z_TLHH54NY6FH7;Active;05-01-2026 16:36;
AID_20260105T163625587169Z_B27HBP4YT5AI;Active;05-01-2026 16:36;
AID_20260105T163625608700Z_G536X6WCQNHK;Active;05-01-2026 16:36;
AID_20260105T163625627978Z_WSA5B5WDD5CP;Active;05-01-2026 16:36;
AID_20260105T163625645923Z_J4HYV6TKPZHG;Active;05-01-2026 16:36;
AID_20260105T163625671296Z_NHGYVWACHZHO;Active;05-01-2026 16:36;
AID_20260105T163625694594Z_IUAFJ56QHRGG;Active;05-01-2026 16:36;
AID_20260105T163625722180Z_IKQYOXRCV5GO;Active;05-01-2026 16:36;
AID_20260105T163625742656Z_2UIRZZQFIFFH;Active;05-01-2026 16:36;
AID_20260105T163625770069Z_VFWRBBFFNNHK;Active;05-01-2026 16:36;
AID_20260105T163625791173Z_UIVON6EAEZES;Active;05-01-2026 16:36;
AID_20260105T163625814586Z_ERKZWMWAL5H7;Active;05-01-2026 16:36;
AID_20260105T163625836522Z_J76UHLVTRZHE;Active;05-01-2026 16:36;
AID_20260105T163625864058Z_5B6MRSWJYBG2;Active;05-01-2026 16:36;
AID_20260105T163625885427Z_CREAW2AJVVAE;Active;05-01-2026 16:36;
AID_20260105T163625910449Z_LVUBQ5BEXBDL;Active;05-01-2026 16:36;
