Assignment_ID;ROI_ring;DB_Status;DB_Status_Date_Active;DB_Status_Date_Inactive
AID_20260105T163625270297Z_NNPV5LC3NRFQ;0;Active;05-01-2026 16:37;
AID_20260105T163625288205Z_KLCAVB6GCNAS;0;Active;05-01-2026 16:37;
AID_20260105T163625305971Z_SMQNL2MKKZBK;0;Active;05-01-2026 16:37;
AID_20260105T163625323863Z_JBMPWX6WZJAG;0;Active;05-01-2026 16:37;
AID_20260105T163625339455Z_IEMNDBFMTBC7;0;Active;05-01-2026 16:37;
AID_20260105T163625358106Z_IC67ZAIKZZAG;0;Active;05-01-2026 16:37;
AID_20260105T163625413225Z_FDI6AX5JANF3;1;Active;05-01-2026 16:37;
AID_20260105T163625439654Z_3F6XEIK2D5BA;1;Active;05-01-2026 16:37;
AID_20260105T163625463478Z_SKDMHD4KZREY;0;Active;05-01-2026 16:37;
AID_20260105T163625482044Z_EAI47LGGTJH5;0;Active;05-01-2026 16:37;
AID_20260105T163625498869Z_WK56QOC6ONBO;1;Active;05-01-2026 16:37;
AID_20260105T163625517894Z_WOJFFWBNHJFP;1;Active;05-01-2026 16:37;
AID_20260105T163625535001Z_MT5XAKCO5FEA;0;Active;05-01-2026 16:37;
AID_20260105T163625550245Z_6ERTM6LJOFBE;0;Active;05-01-2026 16:37;
AID_20260105T163625566778Z_TLHH54NY6FH7;0;Active;05-01-2026 16:37;
AID_20260105T163625587169Z_B27HBP4YT5AI;1;Active;05-01-2026 16:37;
AID_20260105T163625608700Z_G536X6WCQNHK;1;Active;05-01-2026 16:37;
AID_20260105T163625627978Z_WSA5B5WDD5CP;1;Active;05-01-2026 16:37;
AID_20260105T163625645923Z_J4HYV6TKPZHG;1;Active;05-01-2026 16:37;
AID_20260105T163625671296Z_NHGYVWACHZHO;1;Active;05-01-2026 16:37;
AID_20260105T163625694594Z_IUAFJ56QHRGG;1;Active;05-01-2026 16:37;
AID_20260105T163625722180Z_IKQYOXRCV5GO;1;Active;05-01-2026 16:37;
AID_20260105T163625742656Z_2UIRZZQFIFFH;1;Active;05-01-2026 16:37;
AID_20260105T163625770069Z_VFWRBBFFNNHK;1;Active;05-01-2026 16:37;
AID_20260105T163625791173Z_UIVON6EAEZES;1;Active;05-01-2026 16:37;
AID_20260105T163625814586Z_ERKZWMWAL5H7;0;Active;05-01-2026 16:37;
AID_20260105T163625836522Z_J76UHLVTRZHE;1;Active;05-01-2026 16:37;
AID_20260105T163625864058Z_5B6MRSWJYBG2;1;Active;05-01-2026 16:37;
AID_20260105T163625885427Z_CREAW2AJVVAE;1;Active;05-01-2026 16:37;
AID_20260105T163625910449Z_LVUBQ5BEXBDL;1;Active;05-01-2026 16:37;
AID_20260105T163625935024Z_JBDSQZU6URBY;1;Active;05-01-2026 16:37;
AID_20260105T163625960176Z_WUOFJVLW7JCT;1;Active;05-01-2026 16:37;
AID_20260105T163625982003Z_62YSPX66GNFT;0;Active;05-01-2026 16:37;
AID_20260105T163626006494Z_CMA4SDMAAVD4;1;Active;05-01-2026 16:37;
AID_20260105T163626026713Z_SANKZ7CVJZDI;1;Active;05-01-2026 16:37;
AID_20260105T163626051396Z_SBXQRJ6IYRF4;1;Active;05-01-2026 16:37;
AID_20260105T163626072934Z_FHSDBS4PW5EK;1;Active;05-01-2026 16:37;
AID_20260105T163626098635Z_A65YHSN6IRBR;1;Active;05-01-2026 16:37;
AID_20260105T163626125101Z_44XSW5KTYBCY;1;Active;05-01-2026 16:37;
AID_20260105T163626148837Z_4PYB4GUQ2BBH;1;Active;05-01-2026 16:37;
AID_20260105T163626170128Z_BLPU5KUOWZCH;1;Active;05-01-2026 16:37;
AID_20260105T163626192951Z_KRLNSIF2RVF7;1;Active;05-01-2026 16:37;
AID_20260105T163626212226Z_W47W3P5OXZCW;1;Active;05-01-2026 16:37;
AID_20260105T163626237449Z_R6CL4X5SKJAZ;0;Active;05-01-2026 16:37;
AID_20260105T163626261327Z_H6QAC54NUBAO;1;Active;05-01-2026 16:37;
AID_20260105T163626294854Z_SO3DDH6DVVH5;0;Active;05-01-2026 16:37;
AID_20260105T163626325250Z_7IICYWLU4BCW;0;Active;05-01-2026 16:37;
AID_20260105T163626352195Z_ZNSN7WNSONAU;1;Active;05-01-2026 16:37;
AID_20260105T163626380367Z_6NHAUARK7JHY;2;Active;05-01-2026 16:37;
AID_20260105T163626402204Z_KN4SPUFF3BEJ;0;Active;05-01-2026 16:37;
AID_20260105T163626427662Z_ZUOHHJ7A6FHL;0;Active;05-01-2026 16:37;
AID_20260105T163626449774Z_U43FGNCQZBA6;0;Active;05-01-2026 16:37;
AID_20260105T163626478379Z_OOTUZSEM65C2;0;Active;05-01-2026 16:37;
AID_20260105T163626504704Z_6FIMZGFXXBH2;5;Active;05-01-2026 16:37;
AID_20260105T163626530640Z_ISXTJ3OQ6RET;1;Active;05-01-2026 16:37;
AID_20260105T163626555997Z_Q2ZNYEGEDZAY;0;Active;05-01-2026 16:37;
AID_20260105T163626579859Z_Q2ZELFIIPRC3;0;Active;05-01-2026 16:37;
AID_20260105T163626607924Z_PPONEKTIMZGQ;0;Active;05-01-2026 16:37;
AID_20260105T163626635950Z_5B7725F3IZDI;0;Active;05-01-2026 16:37;
AID_20260105T163626658285Z_OMC3V5X7WZB2;0;Active;05-01-2026 16:37;
AID_20260105T163626686569Z_OZ6KM7FEJVDF;1;Active;05-01-2026 16:37;
AID_20260105T163626716599Z_ONNPDER6MZH5;1;Active;05-01-2026 16:37;
AID_20260105T163626751580Z_NDUSTVYU3ZEH;0;Active;05-01-2026 16:37;
AID_20260105T163626782988Z_XIKWTJW2ZJFR;0;Active;05-01-2026 16:37;
AID_20260105T163626813972Z_PHIJPZFBLFDB;0;Active;05-01-2026 16:37;
AID_20260105T163626842169Z_NUCTLDNRCJHJ;0;Active;05-01-2026 16:37;
AID_20260105T163626871570Z_35L4I7VIYRAA;0;Active;05-01-2026 16:37;
AID_20260105T163626900501Z_GS2GAA2WPRCP;1;Active;05-01-2026 16:37;
AID_20260105T163626929923Z_NJI42QEPGFFB;0;Active;05-01-2026 16:37;
AID_20260105T163626957703Z_K6EHTNN36JAS;0;Active;05-01-2026 16:37;
AID_20260105T163626987643Z_BNOEHJUJN5E7;0;Active;05-01-2026 16:37;
AID_20260105T163627014802Z_DPXFYFS2ANAW;0;Active;05-01-2026 16:37;
AID_20260105T163627042687Z_U42L7T623JG7;0;Active;05-01-2026 16:37;
AID_20260105T163627071852Z_GATISN2BNNGP;0;Active;05-01-2026 16:37;
AID_20260105T163627100009Z_URXNGQJUOBFJ;0;Active;05-01-2026 16:37;
AID_20260105T163627133464Z_C4Z6FWR77FBP;0;Active;05-01-2026 16:37;
AID_20260105T163627163609Z_RAQSQHYDYZCZ;0;Active;05-01-2026 16:37;
AID_20260105T163627193435Z_NMYCTRPBYRAU;1;Active;05-01-2026 16:37;
AID_20260105T163627225169Z_SHQ4XKF3B5EM;1;Active;05-01-2026 16:37;
AID_20260105T163627255325Z_7SZUEFAUVBB7;1;Active;05-01-2026 16:37;
AID_20260105T163627338571Z_IHCKFKZR6JEE;1;Active;05-01-2026 16:37;
AID_20260105T163627378922Z_V6ZOHDTSIVCB;1;Active;05-01-2026 16:37;
AID_20260105T163627410845Z_XJUL4CAK5ZGC;1;Active;05-01-2026 16:37;
