Assignment_ID;DB_Status;Assignment_Status;Assignment_Time_Stamp;DB_Status_Date_Active;DB_Status_Date_Inactive
AID_20260105T163625270297Z_NNPV5LC3NRFQ;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:21
AID_20260105T163625288205Z_KLCAVB6GCNAS;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:23
AID_20260105T163625305971Z_SMQNL2MKKZBK;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:24
AID_20260105T163625323863Z_JBMPWX6WZJAG;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:24
AID_20260105T163625339455Z_IEMNDBFMTBC7;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:25
AID_20260105T163625358106Z_IC67ZAIKZZAG;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:25
AID_20260105T163625413225Z_FDI6AX5JANF3;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:25
AID_20260105T163625439654Z_3F6XEIK2D5BA;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:26
AID_20260105T163625463478Z_SKDMHD4KZREY;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:26
AID_20260105T163625482044Z_EAI47LGGTJH5;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:26
AID_20260105T163625498869Z_WK56QOC6ONBO;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:27
AID_20260105T163625517894Z_WOJFFWBNHJFP;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:27
AID_20260105T163625535001Z_MT5XAKCO5FEA;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:28
AID_20260105T163625550245Z_6ERTM6LJOFBE;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:28
AID_20260105T163625566778Z_TLHH54NY6FH7;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:29
AID_20260105T163625587169Z_B27HBP4YT5AI;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:29
AID_20260105T163625608700Z_G536X6WCQNHK;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:30
AID_20260105T163625627978Z_WSA5B5WDD5CP;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:30
AID_20260105T163625645923Z_J4HYV6TKPZHG;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:31
AID_20260105T163625671296Z_NHGYVWACHZHO;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:31
AID_20260105T163625694594Z_IUAFJ56QHRGG;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:32
AID_20260105T163625722180Z_IKQYOXRCV5GO;Inactive;OPEN;05-01-2026 16:36;05-01-2026 16:36;2026-01-06 12:31:33
