Connector_ID;Assignment_ID;DB_Status;SOB_ID;Connection_Status;Connection_Time_Stamp;DB_Status_Date_Active;DB_Status_Date_Inactive
CONN_20260105T163625273331Z_7YUX5IROXJBR;AID_20260105T163625270297Z_NNPV5LC3NRFQ;Active;SOB_20260105T163218713469Z_AYB2NAC7CVD3;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625274763Z_CVVP4QGAEFFH;AID_20260105T163625270297Z_NNPV5LC3NRFQ;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625290190Z_2U76C4NWQFEN;AID_20260105T163625288205Z_KLCAVB6GCNAS;Active;SOB_20260105T163218713973Z_WQR6M2QFD5DZ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625292409Z_P6JEXII7SNDX;AID_20260105T163625288205Z_KLCAVB6GCNAS;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625308973Z_YENIJYOKSRFO;AID_20260105T163625305971Z_SMQNL2MKKZBK;Active;SOB_20260105T163218714194Z_I2CZAB7D4RHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625311117Z_XFGKDIMKUJHG;AID_20260105T163625305971Z_SMQNL2MKKZBK;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625326270Z_7TWEBSD6PVDD;AID_20260105T163625323863Z_JBMPWX6WZJAG;Active;SOB_20260105T163218714393Z_COC5NG426BGZ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625327848Z_VJRGCKGLOJCI;AID_20260105T163625323863Z_JBMPWX6WZJAG;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625342509Z_JD7U2SFREJC2;AID_20260105T163625339455Z_IEMNDBFMTBC7;Active;SOB_20260105T163218714591Z_W5HUCO6LBBFI;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625344063Z_ME7FXI2JPRBD;AID_20260105T163625339455Z_IEMNDBFMTBC7;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625360673Z_T4MLJVI3XZFN;AID_20260105T163625358106Z_IC67ZAIKZZAG;Active;SOB_20260105T163218714781Z_NHMUDOY4RVAB;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625362249Z_CJQS5YAYM5DG;AID_20260105T163625358106Z_IC67ZAIKZZAG;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625416903Z_LJPQAXJGSBH2;AID_20260105T163625413225Z_FDI6AX5JANF3;Active;SOB_20260105T163218714965Z_2R6H2T2R5NCE;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625419510Z_RBZM5R2MYRHC;AID_20260105T163625413225Z_FDI6AX5JANF3;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625443870Z_WQA4NYWPB5B5;AID_20260105T163625439654Z_3F6XEIK2D5BA;Active;SOB_20260105T163218715150Z_VASJUXG4ZVH3;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625446303Z_BGAFMDM3BZHF;AID_20260105T163625439654Z_3F6XEIK2D5BA;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625465907Z_5MBB26J4PRBH;AID_20260105T163625463478Z_SKDMHD4KZREY;Active;SOB_20260105T163218715341Z_2AFCJYUTTBFC;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625467513Z_BHED7KFNBZH6;AID_20260105T163625463478Z_SKDMHD4KZREY;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625484145Z_KJQLKS5XXNB2;AID_20260105T163625482044Z_EAI47LGGTJH5;Active;SOB_20260105T163218715528Z_O57LDIQUFFD3;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625485669Z_M5WINN2R4BGE;AID_20260105T163625482044Z_EAI47LGGTJH5;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625500840Z_33ECGVVBYFAH;AID_20260105T163625498869Z_WK56QOC6ONBO;Active;SOB_20260105T163218715710Z_FGPQMTC7LJDM;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625502298Z_U2CDE3L7FFBR;AID_20260105T163625498869Z_WK56QOC6ONBO;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625520982Z_KQ6HTDAWLFDB;AID_20260105T163625517894Z_WOJFFWBNHJFP;Active;SOB_20260105T163218715906Z_4WUTZYGNJJFJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625522902Z_3CKOG3KWTZHB;AID_20260105T163625517894Z_WOJFFWBNHJFP;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625537870Z_QZLPQCEVFFGI;AID_20260105T163625535001Z_MT5XAKCO5FEA;Active;SOB_20260105T163218716091Z_63GO5R5UPRBA;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625539234Z_RAWGQYHIE5DH;AID_20260105T163625535001Z_MT5XAKCO5FEA;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625553441Z_4YA7TKV3TBER;AID_20260105T163625550245Z_6ERTM6LJOFBE;Active;SOB_20260105T163218716285Z_NHQVUCO5XRAZ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625555032Z_35ILWJG6DNC5;AID_20260105T163625550245Z_6ERTM6LJOFBE;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625569746Z_SPYNHAWRZNEK;AID_20260105T163625566778Z_TLHH54NY6FH7;Active;SOB_20260105T163218716470Z_YS7UNAVOKBCV;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625571084Z_6LL7AQEQ5JGB;AID_20260105T163625566778Z_TLHH54NY6FH7;Active;SOB_20260105T163329798491Z_TBCQ42W25VHJ;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625589461Z_HSWEUCIGNNEL;AID_20260105T163625587169Z_B27HBP4YT5AI;Active;SOB_20260105T163218716655Z_6ZB6DLK7RFD7;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625590748Z_W56TJ7A4RRDY;AID_20260105T163625587169Z_B27HBP4YT5AI;Active;SOB_20260105T163329798988Z_GWUWABPCBZAE;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625611574Z_ZHW5I2P4EBDL;AID_20260105T163625608700Z_G536X6WCQNHK;Active;SOB_20260105T163218716843Z_GMF6E64WZRDM;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625613361Z_MKYKJ3A4EFFS;AID_20260105T163625608700Z_G536X6WCQNHK;Active;SOB_20260105T163329798988Z_GWUWABPCBZAE;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625630834Z_CDOPI6N43FFJ;AID_20260105T163625627978Z_WSA5B5WDD5CP;Active;SOB_20260105T163218717020Z_IE4IS6SVDRHB;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625632386Z_4TS6OEGFTRC5;AID_20260105T163625627978Z_WSA5B5WDD5CP;Active;SOB_20260105T163329798988Z_GWUWABPCBZAE;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
CONN_20260105T163625647970Z_MF7QKOQDHNG5;AID_20260105T163625645923Z_J4HYV6TKPZHG;Active;SOB_20260105T163218717207Z_WORBSLX5DFH4;ACTIVE;05-01-2026 16:36;05-01-2026 16:36;
