ROI_ID;DB_Status;ROI_as_code;ROI_ring;DB_Status_Date_Active;DB_Status_Date_Inactive
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4190000000Y2980000000Z0;0;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4180000000Y2970000000Z0;1;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4180000000Y2980000000Z0;1;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4180000000Y2990000000Z0;1;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4190000000Y2990000000Z0;1;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4200000000Y2990000000Z0;1;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4200000000Y2980000000Z0;1;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4200000000Y2970000000Z0;1;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4190000000Y2970000000Z0;1;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4170000000Y2960000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4170000000Y2970000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4170000000Y2980000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4170000000Y2990000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4170000000Y3000000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4180000000Y3000000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4190000000Y3000000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4200000000Y3000000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4210000000Y3000000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4210000000Y2990000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4210000000Y2980000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4210000000Y2970000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4210000000Y2960000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4200000000Y2960000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4190000000Y2960000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4180000000Y2960000000Z0;2;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4160000000Y2950000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4160000000Y2960000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4160000000Y2970000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4160000000Y2980000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4160000000Y2990000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4160000000Y3000000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4160000000Y3010000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4170000000Y3010000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4180000000Y3010000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4190000000Y3010000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4200000000Y3010000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4210000000Y3010000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4220000000Y3010000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4220000000Y3000000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4220000000Y2990000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4220000000Y2980000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4220000000Y2970000000Z0;3;2026-01-05 16:34:43;
ROI_20260105T163411150550Z_5X673HLTPVHT;Active;TGB101_10kmX4220000000Y2960000000Z0;3;2026-01-05 16:34:43;
