SOB_ID;DB_Status;SOB_as_code;SOB_ring;DB_Status_Date_Active;DB_Status_Date_Inactive
SOB_20260105T163218713469Z_AYB2NAC7CVD3;Active;TGB101_10mX4196610000Y2989080000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218713973Z_WQR6M2QFD5DZ;Active;TGB101_10mX4197470000Y2988800000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218714194Z_I2CZAB7D4RHJ;Active;TGB101_10mX4196270000Y2989450000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218714393Z_COC5NG426BGZ;Active;TGB101_10mX4196540000Y2989430000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218714591Z_W5HUCO6LBBFI;Active;TGB101_10mX4196770000Y2988540000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218714781Z_NHMUDOY4RVAB;Active;TGB101_10mX4197530000Y2988360000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218714965Z_2R6H2T2R5NCE;Active;TGB101_10mX4195720000Y2991080000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218715150Z_VASJUXG4ZVH3;Active;TGB101_10mX4196240000Y2990290000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218715341Z_2AFCJYUTTBFC;Active;TGB101_10mX4197330000Y2988570000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218715528Z_O57LDIQUFFD3;Active;TGB101_10mX4199490000Y2989060000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218715710Z_FGPQMTC7LJDM;Active;TGB101_10mX4191850000Y2978970000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218715906Z_4WUTZYGNJJFJ;Active;TGB101_10mX4196440000Y2990290000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218716091Z_63GO5R5UPRBA;Active;TGB101_10mX4197620000Y2987520000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218716285Z_NHQVUCO5XRAZ;Active;TGB101_10mX4196640000Y2988930000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218716470Z_YS7UNAVOKBCV;Active;TGB101_10mX4198730000Y2986540000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218716655Z_6ZB6DLK7RFD7;Active;TGB101_10mX4196730000Y2987760000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218716843Z_GMF6E64WZRDM;Active;TGB101_10mX4197910000Y2988090000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218717020Z_IE4IS6SVDRHB;Active;TGB101_10mX4197550000Y2988440000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218717207Z_WORBSLX5DFH4;Active;TGB101_10mX4197250000Y2988470000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218717388Z_2ZPSUKPVIZEV;Active;TGB101_10mX4197010000Y2988840000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218717564Z_OQVVHJDDQZHC;Active;TGB101_10mX4199330000Y2988970000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218717746Z_WKLD5TTAD5GL;Active;TGB101_10mX4197670000Y2988360000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218717926Z_6XXS7UVXWZHG;Active;TGB101_10mX4196270000Y2989520000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218718114Z_HBUYLHNR3JE2;Active;TGB101_10mX4196120000Y2988950000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218718347Z_SFE3VBX7LNEU;Active;TGB101_10mX4196060000Y2989650000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218718508Z_ECRYDVMPTFHT;Active;TGB101_10mX4194720000Y2990830000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218718669Z_USWEWSUI7BBT;Active;TGB101_10mX4196170000Y2989600000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218718833Z_NNKTBFC5ABA6;Active;TGB101_10mX4195280000Y2988680000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218719001Z_X3DAA3PLZVG2;Active;TGB101_10mX4196370000Y2989180000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218719165Z_SGFIXJEPKBEZ;Active;TGB101_10mX4196510000Y2989120000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218719329Z_QKLAJQHQPZDJ;Active;TGB101_10mX4197130000Y2988880000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218719495Z_HQNQUSSIYVFL;Active;TGB101_10mX4195220000Y2988390000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218719661Z_ZLA6ZG3IQNCK;Active;TGB101_10mX4196850000Y2990030000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218719822Z_PIEXLOBOZND4;Active;TGB101_10mX4190570000Y2988090000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218719988Z_JMZ5WCG4W5GV;Active;TGB101_10mX4196870000Y2989430000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218720144Z_V5OM22YJ6JEJ;Active;TGB101_10mX4196630000Y2989220000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218720292Z_MGIJNNVZARCY;Active;TGB101_10mX4197540000Y2988310000Z0;0;2026-01-05 16:32:23;
