as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_10kmX4180000000Y2990000000Z0;8.1010258333;50.0515176855;8.0330887483;50.0053946362;8.0293877777;50.0952708498;8.1690928809;50.0975998609;8.172531762;50.0077186164;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4190000000Y2990000000Z0;8.2406058527;50.0537586981;8.172531762;50.0077186164;8.1690928809;50.0975998609;8.3088100283;50.0997577213;8.3119867338;50.0098718151;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4160000000Y2980000000Z0;7.8259884026;49.9566535141;7.758447305;49.9103666887;7.7542422338;50.0002344308;7.8936586025;50.0028998989;7.8976030009;49.9130264161;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4170000000Y2980000000Z0;7.9652812594;49.9592308382;7.8976030009;49.9130264161;7.8936586025;50.0028998989;8.0330887483;50.0053946362;8.0367723755;49.9155157797;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4190000000Y2980000000Z0;8.2439058916;49.96387378;8.1759545263;49.9178347534;8.172531762;50.0077186164;8.3119867338;50.0098718151;8.3151485498;49.9199833128;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4140000000Y3020000000Z0;7.5288886197;50.3103994843;7.4611421269;50.2639405662;7.4563261606;50.3537850199;7.5967663884;50.3568180766;7.601316957;50.2669670217;TGB101_50kmX4100000000Y3000000000Z0
TGB101_10kmX4180000000Y2960000000Z0;8.111660597;49.7818694054;8.0440880648;49.7357499177;8.0404387759;49.8256342252;8.1793612819;49.8279482165;8.1827521362;49.7380589506;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4200000000Y2970000000Z0;8.3862600639;49.8760473513;8.3182955762;49.8300921592;8.3151485498;49.9199833128;8.4543535421;49.9219614355;8.457240761;49.8320660309;TGB101_50kmX4200000000Y2950000000Z0
TGB101_10kmX4190000000Y3000000000Z0;8.2372902579;50.1436410368;8.1690928809;50.0975998609;8.1656377736;50.1874785421;8.3056183321;50.1896410868;8.3088100283;50.0997577213;TGB101_50kmX4150000000Y3000000000Z0
TGB101_10kmX4190000000Y2970000000Z0;8.2471904795;49.8739862271;8.1793612819;49.8279482165;8.1759545263;49.9178347534;8.3151485498;49.9199833128;8.3182955762;49.8300921592;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4200000000Y2990000000Z0;8.3801974162;50.0558287331;8.3119867338;50.0098718151;8.3088100283;50.0997577213;8.4485383028;50.1017444079;8.4514527533;50.0118542094;TGB101_50kmX4200000000Y2950000000Z0
TGB101_10kmX4200000000Y2980000000Z0;8.3832358539;49.9659393488;8.3151485498;49.9199833128;8.3119867338;50.0098718151;8.4514527533;50.0118542094;8.4543535421;49.9219614355;TGB101_50kmX4200000000Y2950000000Z0
TGB101_10kmX4180000000Y2980000000Z0;8.1045873912;49.9616376019;8.0367723755;49.9155157797;8.0330887483;50.0053946362;8.172531762;50.0077186164;8.1759545263;49.9178347534;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4180000000Y2970000000Z0;8.1081322751;49.8717548603;8.0404387759;49.8256342252;8.0367723755;49.9155157797;8.1759545263;49.9178347534;8.1793612819;49.8279482165;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4270000000Y2960000000Z0;9.3611842598;49.7957914361;9.2924111438;49.7504209185;9.2910902473;49.8403367401;9.4300864949;49.841119637;9.4311484323;49.7512021366;TGB101_50kmX4250000000Y2950000000Z0
TGB101_10kmX4290000000Y3060000000Z0;9.632029039;50.6960876556;9.5616872132;50.6508920545;9.5608454095;50.7407875388;9.7025064178;50.7412398045;9.7030766847;50.6513433238;TGB101_50kmX4250000000Y3050000000Z0
TGB101_10kmX4080000000Y2950000000Z0;6.7305719864;49.6604456598;6.6644853348;49.6135151706;6.6582866683;49.7033330699;6.7967848337;49.7073373425;6.8027274436;49.6175108994;TGB101_50kmX4050000000Y2950000000Z0
TGB101_10kmX4150000000Y3070000000Z0;7.646850821;50.7625839491;7.578346682;50.7161977521;7.5736866486;50.8060368069;7.7154895222;50.8089293056;7.7198776695;50.7190838687;TGB101_50kmX4150000000Y3050000000Z0
TGB101_10kmX4220000000Y2930000000Z0;8.6743264921;49.5200327746;8.6065834473;49.4742454204;8.6040046851;49.5641557141;8.7421963679;49.5657789282;8.7445199887;49.4758651827;TGB101_50kmX4200000000Y2900000000Z0
TGB101_10kmX4080000000Y3080000000Z0;6.6491932586;50.8278878163;6.581586619;50.7809178572;6.5749957393;50.8706990188;6.7169340204;50.8748182133;6.7232527148;50.7850279499;TGB101_50kmX4050000000Y3050000000Z0
TGB101_10kmX4120000000Y2970000000Z0;7.2740724092;49.854792996;7.2072014725;49.8081807331;7.2019793388;49.8980247263;7.3410713068;49.901365612;7.3460344378;49.8115144469;TGB101_50kmX4100000000Y2950000000Z0
TGB101_10kmX4160000000Y3020000000Z0;7.8095351132;50.3161150411;7.7415077202;50.269821694;7.7372226646;50.3596789763;7.8776940552;50.3623676883;7.881713489;50.2725045525;TGB101_50kmX4150000000Y3000000000Z0
TGB101_10kmX4190000000Y3050000000Z0;8.2204752188;50.5930159733;8.1516528635;50.5469687366;8.1481149516;50.6368354287;8.2894313951;50.6390217416;8.2926995909;50.5491502492;TGB101_50kmX4150000000Y3050000000Z0
TGB101_10kmX4090000000Y2920000000Z0;6.8862748191;49.39485511;6.8203904808;49.3480124335;6.8145300848;49.437848498;6.952283766;49.4416589697;6.9578914906;49.3518148379;TGB101_50kmX4050000000Y2900000000Z0
TGB101_10kmX4190000000Y3060000000Z0;8.2170640382;50.682883996;8.1481149516;50.6368354287;8.1445601366;50.7266998885;8.2861475833;50.7288910253;8.2894313951;50.6390217416;TGB101_50kmX4150000000Y3050000000Z0
TGB101_10kmX4090000000Y2990000000Z0;6.845475633;50.0236590861;6.7787896241;49.9767982788;6.7727348002;50.0666126366;6.912290358;50.0704806765;6.9180841608;49.9806579751;TGB101_50kmX4050000000Y2950000000Z0
TGB101_10kmX4300000000Y2970000000Z0;9.7773833575;49.8872913805;9.7080891719;49.8421748657;9.7075426724;49.9320920476;9.846807534;49.9323649552;9.8470937994;49.8424471865;TGB101_50kmX4300000000Y2950000000Z0
TGB101_10kmX4300000000Y2960000000Z0;9.7777987672;49.7973725765;9.7086331189;49.7522551025;9.7080891719;49.8421748657;9.8470937994;49.8424471865;9.8473787278;49.7525268393;TGB101_50kmX4300000000Y2950000000Z0
TGB101_10kmX4230000000Y2980000000Z0;8.8012854338;49.9711121912;8.7327928143;49.9254062893;8.7304142904;50.0153065031;8.8699079845;50.016776366;8.8720252837;49.9268729842;TGB101_50kmX4200000000Y2950000000Z0
TGB101_10kmX4300000000Y2870000000Z0;9.7814517627;48.9879792417;9.7134165469;48.9428517973;9.7128948221;49.0327973224;9.8496110775;49.033064487;9.8498843653;48.9431184025;TGB101_50kmX4300000000Y2850000000Z0
TGB101_10kmX4260000000Y2990000000Z0;9.2179380068;50.0646573131;9.1489166618;50.0192034464;9.1473144511;50.1091095617;9.2870902031;50.110068827;9.288429819;50.0201606383;TGB101_50kmX4250000000Y2950000000Z0
TGB101_10kmX4080000000Y3070000000Z0;6.6556326537;50.7381008185;6.5881460803;50.691134185;6.581586619;50.7809178572;6.7232527148;50.7850279499;6.7295412824;50.6952352206;TGB101_50kmX4050000000Y3050000000Z0
TGB101_10kmX4140000000Y2930000000Z0;7.5701590539;49.5016593414;7.5034826111;49.4552171845;7.4988655043;49.5450869492;7.6369613748;49.5480617322;7.6413240172;49.4581856474;TGB101_50kmX4100000000Y2900000000Z0
TGB101_10kmX4230000000Y3000000000Z0;8.7967684009;50.1509108304;8.7280245627;50.1052041777;8.7256235554;50.195099369;8.8656433967;50.1965756144;8.8677807114;50.1066772241;TGB101_50kmX4200000000Y3000000000Z0
TGB101_10kmX4190000000Y2950000000Z0;8.2537137153;49.694202996;8.1861271954;49.6481669005;8.1827521362;49.7380589506;8.321427912;49.7401982988;8.3245456556;49.6503016763;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4090000000Y3060000000Z0;6.8033128322;50.6523212106;6.7357999296;50.6054399727;6.7295412824;50.6952352206;6.8709587546;50.6991628162;6.8769476298;50.609358935;TGB101_50kmX4050000000Y3050000000Z0
TGB101_10kmX4210000000Y2890000000Z0;8.5469923642;49.158669578;8.4798607396;49.1128014236;8.4770788738;49.2027198733;8.6142483915;49.2044969754;8.6167798534;49.1145747869;TGB101_50kmX4200000000Y2850000000Z0
TGB101_10kmX4180000000Y2900000000Z0;8.1324888612;49.2424966098;8.065630789;49.196383175;8.0620818034;49.2862851573;8.1994715735;49.2885697527;8.2027692182;49.1986629527;TGB101_50kmX4150000000Y2900000000Z0
TGB101_10kmX4160000000Y2950000000Z0;7.8381271788;49.687029104;7.7709450793;49.6407467344;7.7667985967;49.7306228953;7.9054365883;49.733271224;7.9093260233;49.6433894049;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4180000000Y3030000000Z0;8.0866105901;50.4110125413;8.0181796252;50.3648841835;8.0144080951;50.4547503758;8.1551739878;50.4570997571;8.1586784389;50.367228435;TGB101_50kmX4150000000Y3000000000Z0
TGB101_10kmX4140000000Y3040000000Z0;7.5194775709;50.4900900504;7.4514873432;50.4436269324;7.4466255185;50.5334663581;7.587600319;50.5365127143;7.5921942249;50.4466666226;TGB101_50kmX4100000000Y3000000000Z0
