as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_500mX4196500000Y2989000000Z0;8.2669066386;50.0024493229;8.2635021938;50.0001490495;8.2633392112;50.0046433397;8.2703114078;50.0047494938;8.2704737367;50.0002551921;TGB101_1kmX4196000000Y2989000000Z0
TGB101_500mX4191000000Y2984500000Z0;8.1917448107;49.9608080929;8.1883468787;49.9585055602;8.1881770652;49.9629997806;8.1951430663;49.9631105233;8.1953122276;49.958616291;TGB101_1kmX4191000000Y2984000000Z0
TGB101_500mX4197000000Y2979000000Z0;8.2771109695;49.9126677973;8.2737123256;49.9103677797;8.2735507567;49.9148622131;8.2805099362;49.9149677124;8.2806708545;49.9104732677;TGB101_1kmX4197000000Y2979000000Z0
TGB101_500mX4196500000Y2988000000Z0;8.2672318736;49.9934607179;8.2638280441;49.9911604494;8.2636651381;49.9956547527;8.2706360274;49.9957608839;8.27079828;49.9912665691;TGB101_1kmX4196000000Y2988000000Z0
TGB101_500mX4195500000Y2989000000Z0;8.252962956;50.0022361724;8.2495591934;49.9999354836;8.2493949034;50.0044297508;8.2563670431;50.0045367587;8.2565306793;50.00004248;TGB101_1kmX4195000000Y2989000000Z0
TGB101_500mX4195000000Y2987000000Z0;8.2466493155;49.984151859;8.2432471233;49.9818509726;8.2430823345;49.9863452544;8.2500518317;49.9864526429;8.2502159674;49.9819583495;TGB101_1kmX4195000000Y2987000000Z0
TGB101_500mX4193500000Y2991000000Z0;8.2244093105;50.0197816017;8.2210056833;50.0174800719;8.2208386218;50.0219742664;8.2278132624;50.022083029;8.2279796696;50.0175888229;TGB101_1kmX4193000000Y2991000000Z0
TGB101_500mX4193000000Y2991500000Z0;8.2172676034;50.0241668167;8.2138640104;50.0218650766;8.2136962552;50.0263592527;8.2206715211;50.0264684543;8.2208386218;50.0219742664;TGB101_1kmX4193000000Y2991000000Z0
TGB101_500mX4190000000Y2987500000Z0;8.1767880474;49.9875508618;8.1733889598;49.9852478983;8.1732176007;49.9897420551;8.1801874589;49.989853723;8.1803581649;49.9853595542;TGB101_1kmX4190000000Y2987000000Z0
TGB101_500mX4197000000Y2984500000Z0;8.2753350009;49.9621062264;8.2719329824;49.9598061826;8.2717709962;49.9643005432;8.2787373431;49.9644061677;8.278898677;49.9599117957;TGB101_1kmX4197000000Y2984000000Z0
TGB101_500mX4195000000Y2988000000Z0;8.2463203138;49.993140421;8.2429175071;49.9908395295;8.2427526409;49.9953337982;8.2497234447;49.9954412099;8.2498876575;49.9909469296;TGB101_1kmX4195000000Y2988000000Z0
TGB101_500mX4195000000Y2990000000Z0;8.2456618467;50.0111174665;8.2422578101;50.0088165649;8.2420927889;50.0133108075;8.2490662078;50.0134182656;8.2492305749;50.0089240114;TGB101_1kmX4195000000Y2990000000Z0
TGB101_500mX4181000000Y2968000000Z0;8.0584376081;49.8102031071;8.0550565159;49.8078965337;8.0548750682;49.8123907296;8.061819021;49.812509579;8.0619998217;49.8080153704;TGB101_1kmX4181000000Y2968000000Z0
TGB101_500mX4191500000Y2984500000Z0;8.1987105004;49.9609186164;8.1953122276;49.958616291;8.1951430663;49.9631105233;8.2021090967;49.9632208395;8.2022776058;49.9587265953;TGB101_1kmX4191000000Y2984000000Z0
TGB101_500mX4190500000Y2987500000Z0;8.1837575939;49.9876623104;8.1803581649;49.9853595542;8.1801874589;49.989853723;8.1871573468;49.9899649642;8.1873273996;49.9854707834;TGB101_1kmX4190000000Y2987000000Z0
TGB101_500mX4194000000Y2991000000Z0;8.2313836384;50.019890145;8.2279796696;50.0175888229;8.2278132624;50.022083029;8.2347879319;50.0221913646;8.2349536849;50.0176971467;TGB101_1kmX4194000000Y2991000000Z0
TGB101_500mX4199000000Y2987000000Z0;8.3024035878;49.984997265;8.2989986705;49.9826980399;8.2988391065;49.9871924131;8.3058088293;49.9872963875;8.3059677401;49.9828020031;TGB101_1kmX4199000000Y2987000000Z0
TGB101_500mX4198000000Y2986000000Z0;8.288785863;49.9757997484;8.2853822419;49.9735001126;8.2852214472;49.9779944763;8.2921898081;49.9780992816;8.29234995;49.9736049066;TGB101_1kmX4198000000Y2986000000Z0
TGB101_500mX4195000000Y2979500000Z0;8.2491119126;49.9167368046;8.2457143204;49.9144359555;8.2455501104;49.9189303363;8.2525098278;49.9190375513;8.2526733869;49.9145431589;TGB101_1kmX4195000000Y2979000000Z0
TGB101_500mX4201500000Y2979500000Z0;8.3395863736;49.9180945227;8.3361843706;49.9157963697;8.3360286215;49.9202908971;8.3429886997;49.920392573;8.3431437979;49.9158980347;TGB101_1kmX4201000000Y2979000000Z0
TGB101_500mX4195500000Y2990000000Z0;8.2526349528;50.0112247053;8.2492305749;50.0089240114;8.2490662078;50.0134182656;8.2560396553;50.0135252966;8.2562033684;50.0090310309;TGB101_1kmX4195000000Y2990000000Z0
TGB101_500mX4197000000Y2984000000Z0;8.275496642;49.9576118568;8.2720949306;49.9553118154;8.2719329824;49.9598061826;8.278898677;49.9599117957;8.279059973;49.9554174171;TGB101_1kmX4197000000Y2984000000Z0
TGB101_500mX4209500000Y2987500000Z0;8.4486213119;49.9915811068;8.4452089474;49.989286248;8.4450630672;49.9937808407;8.452034001;49.9938758624;8.4521792276;49.9893812595;TGB101_1kmX4209000000Y2987000000Z0
TGB101_500mX4189500000Y2991500000Z0;8.1684437549;50.0233919823;8.1650425556;50.0210887892;8.16487022;50.0255828815;8.1718452786;50.0256950731;8.17201696;50.0212009687;TGB101_1kmX4189000000Y2991000000Z0
TGB101_500mX4199500000Y2983500000Z0;8.3104821761;49.9536401303;8.3070790721;49.9513411291;8.3069204221;49.9558355594;8.3138856037;49.9559390288;8.3140436016;49.9514445874;TGB101_1kmX4199000000Y2983000000Z0
TGB101_500mX4195000000Y2988500000Z0;8.246155755;49.9976346922;8.2427526409;49.9953337982;8.242587736;49.9998280603;8.2495591934;49.9999354836;8.2497234447;49.9954412099;TGB101_1kmX4195000000Y2988000000Z0
TGB101_500mX4193000000Y2989500000Z0;8.2179370006;50.0061900365;8.214534637;50.003888307;8.2143670394;50.0083825092;8.2213396885;50.0084916636;8.2215066323;50.0039974496;TGB101_1kmX4193000000Y2989000000Z0
TGB101_500mX4193500000Y2985000000Z0;8.2264073059;49.9658507277;8.2230073637;49.9635492291;8.2228407723;49.9680435021;8.2298075718;49.9681521239;8.2299735108;49.9636578392;TGB101_1kmX4193000000Y2985000000Z0
TGB101_500mX4200000000Y2988500000Z0;8.3158684754;49.9986875231;8.312461953;49.9963887066;8.3123035838;50.0008830826;8.3192753223;50.0009862368;8.3194330378;49.9964918497;TGB101_1kmX4200000000Y2988000000Z0
TGB101_500mX4191000000Y2986000000Z0;8.1912361695;49.9742907422;8.1878373186;49.9719882015;8.1876673855;49.9764824021;8.1946353441;49.9765931806;8.1948046246;49.9720989681;TGB101_1kmX4191000000Y2986000000Z0
TGB101_500mX4200500000Y2988500000Z0;8.3228399008;49.9987904583;8.3194330378;49.9964918497;8.3192753223;50.0009862368;8.3262470882;50.0010889641;8.3264041501;49.9965945659;TGB101_1kmX4200000000Y2988000000Z0
TGB101_500mX4199500000Y2984000000Z0;8.3103238336;49.9581345628;8.3069204221;49.9558355594;8.3067617349;49.9603299831;8.3137275688;49.9604334637;8.3138856037;49.9559390288;TGB101_1kmX4199000000Y2984000000Z0
TGB101_500mX4197500000Y2984500000Z0;8.2823010357;49.9622116319;8.278898677;49.9599117957;8.2787373431;49.9644061677;8.2857037181;49.9645113656;8.2858643996;49.9600169822;TGB101_1kmX4197000000Y2984000000Z0
TGB101_500mX4195000000Y2979000000Z0;8.2492757779;49.9122424146;8.2458784918;49.909941568;8.2457143204;49.9144359555;8.2526733869;49.9145431589;8.2528369077;49.9100487599;TGB101_1kmX4195000000Y2979000000Z0
TGB101_500mX4196500000Y2987500000Z0;8.2673944338;49.9889664057;8.2639909119;49.9866661396;8.2638280441;49.9911604494;8.27079828;49.9912665691;8.2709604945;49.9867722478;TGB101_1kmX4196000000Y2987000000Z0
TGB101_500mX4201000000Y2979500000Z0;8.3326266344;49.9179926393;8.3292249703;49.9156942787;8.3290685703;49.9201887951;8.3360286215;49.9202908971;8.3361843706;49.9157963697;TGB101_1kmX4201000000Y2979000000Z0
TGB101_500mX4195000000Y2990500000Z0;8.2454971332;50.0156117116;8.2420927889;50.0133108075;8.2419277291;50.0178050435;8.248901802;50.0179125132;8.2490662078;50.0134182656;TGB101_1kmX4195000000Y2990000000Z0
TGB101_500mX4191500000Y2986000000Z0;8.1982038165;49.9744013015;8.1948046246;49.9720989681;8.1946353441;49.9765931806;8.2016033322;49.9767035325;8.2017719599;49.9722093081;TGB101_1kmX4191000000Y2986000000Z0
TGB101_500mX4192500000Y2988500000Z0;8.211300463;49.9970922689;8.207899055;49.9947903371;8.2077308826;49.9992845406;8.2147021952;49.9993940983;8.214869714;49.994899883;TGB101_1kmX4192000000Y2988000000Z0
TGB101_500mX4197000000Y2985000000Z0;8.2751733219;49.9666005894;8.2717709962;49.9643005432;8.2716089719;49.9687948972;8.2785759713;49.9689005331;8.2787373431;49.9644061677;TGB101_1kmX4197000000Y2985000000Z0
TGB101_500mX4194000000Y2984500000Z0;8.2335393871;49.9614648366;8.2301394109;49.9591635479;8.2299735108;49.9636578392;8.2369396869;49.9637660229;8.2371049346;49.9592717199;TGB101_1kmX4194000000Y2984000000Z0
TGB101_500mX4193500000Y2987500000Z0;8.2255754919;49.9883220399;8.2221740155;49.9860205283;8.2220072285;49.9905147685;8.2289772924;49.990623449;8.2291434263;49.9861291971;TGB101_1kmX4193000000Y2987000000Z0
TGB101_500mX4181500000Y2985500000Z0;8.0590386014;49.9676150879;8.0556465454;49.9653086156;8.0554642563;49.969802587;8.0624309807;49.9699214584;8.0626126175;49.9654274741;TGB101_1kmX4181000000Y2985000000Z0
TGB101_500mX4198500000Y2989500000Z0;8.2946342834;50.007364839;8.2912281668;50.0050653942;8.2910677615;50.0095597235;8.2980407245;50.0096641811;8.2982004759;50.0051698405;TGB101_1kmX4198000000Y2989000000Z0
TGB101_500mX4196500000Y2984000000Z0;8.2685312876;49.9575060362;8.2651299164;49.9552057872;8.264967316;49.959700143;8.2719329824;49.9598061826;8.2720949306;49.9553118154;TGB101_1kmX4196000000Y2984000000Z0
TGB101_500mX4198500000Y2986500000Z0;8.2955940773;49.9803987121;8.2921898081;49.9780992816;8.2920296287;49.98259365;8.2989986705;49.9826980399;8.299158197;49.9782036602;TGB101_1kmX4198000000Y2986000000Z0
TGB101_500mX4194500000Y2986000000Z0;8.2400103122;49.9750556979;8.2366090749;49.9727546091;8.2364437108;49.9772488923;8.2434118733;49.9773566843;8.2435765848;49.9728623894;TGB101_1kmX4194000000Y2986000000Z0
TGB101_500mX4195000000Y2997500000Z0;8.2431870751;50.0785304628;8.2397784164;50.0762295224;8.2396128124;50.080723668;8.2465960594;50.0808313005;8.2467610072;50.0763371433;TGB101_1kmX4195000000Y2997000000Z0
TGB101_500mX4194500000Y2988500000Z0;8.2391846388;49.9975270612;8.2357818658;49.9952259597;8.2356163074;49.9997202101;8.242587736;49.9998280603;8.2427526409;49.9953337982;TGB101_1kmX4194000000Y2988000000Z0
TGB101_500mX4191000000Y2984000000Z0;8.1919142783;49.9563138633;8.1885166524;49.9540113332;8.1883468787;49.9585055602;8.1953122276;49.958616291;8.1954813492;49.9541220521;TGB101_1kmX4191000000Y2984000000Z0
TGB101_500mX4175000000Y2987500000Z0;7.9677160161;49.9840089804;7.9643271949;49.9816998078;7.9641362476;49.9861935817;7.9711051608;49.9863180514;7.9712954553;49.9818242641;TGB101_1kmX4175000000Y2987000000Z0
TGB101_500mX4195500000Y2997500000Z0;8.2501700084;50.0786378757;8.2467610072;50.0763371433;8.2465960594;50.0808313005;8.2535793353;50.0809385053;8.2537436267;50.0764443365;TGB101_1kmX4195000000Y2997000000Z0
TGB101_500mX4196500000Y2983500000Z0;8.2686935429;49.9530116714;8.2652924787;49.9507114248;8.2651299164;49.9552057872;8.2720949306;49.9553118154;8.2722568409;49.9508174416;TGB101_1kmX4196000000Y2983000000Z0
TGB101_500mX4199500000Y2984500000Z0;8.3101654539;49.9626289888;8.3067617349;49.9603299831;8.3066030105;49.9648244002;8.3135694967;49.9649278919;8.3137275688;49.9604334637;TGB101_1kmX4199000000Y2984000000Z0
TGB101_500mX4194000000Y2979000000Z0;8.2353583526;49.9120271673;8.2319617457;49.9097259062;8.231796273;49.9142202705;8.2387552824;49.914328326;8.2389201044;49.9098339501;TGB101_1kmX4194000000Y2979000000Z0
TGB101_500mX4192000000Y2988500000Z0;8.2043294919;49.9969825037;8.2009284252;49.9946803644;8.2007595994;49.999174556;8.2077308826;49.9992845406;8.207899055;49.9947903371;TGB101_1kmX4192000000Y2988000000Z0
TGB101_500mX4199000000Y2988500000Z0;8.3019257074;49.998480372;8.2985198662;49.9961811398;8.2983601898;50.0006754934;8.3053318729;50.0007795015;8.3054908957;49.9962851366;TGB101_1kmX4199000000Y2988000000Z0
TGB101_500mX4196500000Y2978000000Z0;8.2704758418;49.9035732219;8.2670781498;49.9012730017;8.2669160063;49.9057674371;8.2738738566;49.9058733396;8.2740353498;49.9013788929;TGB101_1kmX4196000000Y2978000000Z0
TGB101_500mX4199000000Y2989000000Z0;8.3017663391;50.002974728;8.2983601898;50.0006754934;8.2982004759;50.0051698405;8.3051728128;50.0052738598;8.3053318729;50.0007795015;TGB101_1kmX4199000000Y2989000000Z0
TGB101_500mX4196500000Y2988500000Z0;8.2670692752;49.9979550237;8.2636651381;49.9956547527;8.2635021938;50.0001490495;8.2704737367;50.0002551921;8.2706360274;49.9957608839;TGB101_1kmX4196000000Y2988000000Z0
TGB101_500mX4190000000Y2991000000Z0;8.1755898353;50.0190098406;8.172188601;50.0167068578;8.17201696;50.0212009687;8.1789913942;50.0213127211;8.179162381;50.0168185981;TGB101_1kmX4190000000Y2991000000Z0
TGB101_500mX4194000000Y2985500000Z0;8.2332081615;49.9704534177;8.2298075718;49.9681521239;8.2296415939;49.9726464021;8.2366090749;49.9727546091;8.2367744003;49.9682603193;TGB101_1kmX4194000000Y2985000000Z0
TGB101_500mX4197500000Y2988500000Z0;8.2810117639;49.9981664437;8.277606945;49.9958665881;8.2774453078;50.0003609078;8.2844169071;50.0004661965;8.2845778907;49.9959718656;TGB101_1kmX4197000000Y2988000000Z0
TGB101_500mX4194500000Y2985500000Z0;8.2401753306;49.9705614056;8.2367744003;49.9682603193;8.2366090749;49.9727546091;8.2435765848;49.9728623894;8.2437412575;49.968368088;TGB101_1kmX4194000000Y2985000000Z0
TGB101_500mX4189500000Y2988000000Z0;8.1696468249;49.991933134;8.1662477724;49.9896299604;8.1660757199;49.9941240984;8.1730462015;49.9942362053;8.1732176007;49.9897420551;TGB101_1kmX4189000000Y2988000000Z0
TGB101_500mX4192500000Y2989000000Z0;8.2111325977;50.001586475;8.2077308826;49.9992845406;8.2075626708;50.0037787374;8.214534637;50.003888307;8.2147021952;49.9993940983;TGB101_1kmX4192000000Y2989000000Z0
TGB101_500mX4196000000Y2988000000Z0;8.2602613252;49.9933543791;8.2568578365;49.9910539029;8.2566942771;49.9955481947;8.2636651381;49.9956547527;8.2638280441;49.9911604494;TGB101_1kmX4196000000Y2988000000Z0
TGB101_500mX4197500000Y2988000000Z0;8.2811730553;49.9936721151;8.2777685442;49.991372262;8.277606945;49.9958665881;8.2845778907;49.9959718656;8.2847388365;49.991477528;TGB101_1kmX4197000000Y2988000000Z0
TGB101_500mX4191500000Y2984000000Z0;8.1988793157;49.9564243748;8.1954813492;49.9541220521;8.1953122276;49.958616291;8.2022776058;49.9587265953;8.2024460753;49.9542323445;TGB101_1kmX4191000000Y2984000000Z0
TGB101_500mX4195500000Y2985000000Z0;8.2542734296;49.9662817794;8.2508721251;49.9639811106;8.2507081434;49.9684754302;8.2576750578;49.9685823458;8.257838387;49.9640880146;TGB101_1kmX4195000000Y2985000000Z0
TGB101_500mX4199000000Y2984000000Z0;8.3033583397;49.9580308746;8.2999552682;49.9557316635;8.2997959287;49.9602260759;8.3067617349;49.9603299831;8.3069204221;49.9558355594;TGB101_1kmX4199000000Y2984000000Z0
TGB101_500mX4194500000Y2990500000Z0;8.2385234017;50.0155040342;8.2351193989;50.0132029223;8.2349536849;50.0176971467;8.2419277291;50.0178050435;8.2420927889;50.0133108075;TGB101_1kmX4194000000Y2990000000Z0
TGB101_500mX4197500000Y2987500000Z0;8.2813343089;49.98917778;8.2779301054;49.9868779293;8.2777685442;49.991372262;8.2847388365;49.991477528;8.2848997445;49.986983184;TGB101_1kmX4197000000Y2987000000Z0
TGB101_500mX4194500000Y2991000000Z0;8.2383579953;50.0199982611;8.2349536849;50.0176971467;8.2347879319;50.0221913646;8.2417626304;50.022299273;8.2419277291;50.0178050435;TGB101_1kmX4194000000Y2991000000Z0
TGB101_500mX4200000000Y2984000000Z0;8.3172893551;49.9582378246;8.3138856037;49.9559390288;8.3137275688;49.9604334637;8.3206934301;49.9605365177;8.3208508128;49.9560420718;TGB101_1kmX4200000000Y2984000000Z0
TGB101_500mX4199500000Y2981000000Z0;8.3112733317;49.9311678687;8.307871764;49.9288688789;8.3077133;49.9333633422;8.3146752227;49.9334667559;8.3148330354;49.9289722815;TGB101_1kmX4199000000Y2981000000Z0
TGB101_500mX4198500000Y2986000000Z0;8.2957539115;49.9759043348;8.29234995;49.9736049066;8.2921898081;49.9780992816;8.299158197;49.9782036602;8.2993176861;49.973709274;TGB101_1kmX4198000000Y2986000000Z0
TGB101_500mX4194500000Y2986500000Z0;8.239845255;49.9795499837;8.2364437108;49.9772488923;8.2362783078;49.981743169;8.2432471233;49.9818509726;8.2434118733;49.9773566843;TGB101_1kmX4194000000Y2986000000Z0
TGB101_500mX4195500000Y2987500000Z0;8.2534546721;49.9887533242;8.2500518317;49.9864526429;8.2498876575;49.9909469296;8.2568578365;49.9910539029;8.2570213576;49.9865596046;TGB101_1kmX4195000000Y2987000000Z0
TGB101_500mX4194500000Y2997500000Z0;8.2362041707;50.0784226223;8.2327958546;50.0761214739;8.2326295943;50.0806156078;8.2396128124;50.080723668;8.2397784164;50.0762295224;TGB101_1kmX4194000000Y2997000000Z0
TGB101_500mX4196000000Y2989000000Z0;8.2599347831;50.0023429611;8.2565306793;50.00004248;8.2563670431;50.0045367587;8.2633392112;50.0046433397;8.2635021938;50.0001490495;TGB101_1kmX4196000000Y2989000000Z0
TGB101_500mX4192500000Y2990000000Z0;8.2107967487;50.0105748675;8.2073944195;50.0082729278;8.2072261286;50.0127671116;8.2141994024;50.0128767048;8.2143670394;50.0083825092;TGB101_1kmX4192000000Y2990000000Z0
TGB101_500mX4198500000Y2987000000Z0;8.2954342055;49.9848930829;8.2920296287;49.98259365;8.2918694116;49.9870880119;8.2988391065;49.9871924131;8.2989986705;49.9826980399;TGB101_1kmX4198000000Y2987000000Z0
TGB101_500mX4194000000Y2990000000Z0;8.2317157206;50.0109017079;8.2283123667;50.008600391;8.2281460377;50.0130946102;8.2351193989;50.0132029223;8.235285074;50.0087086915;TGB101_1kmX4194000000Y2990000000Z0
TGB101_500mX4192000000Y2989000000Z0;8.204160973;50.0014766979;8.2007595994;49.999174556;8.200590734;50.003668741;8.2075626708;50.0037787374;8.2077308826;49.9992845406;TGB101_1kmX4192000000Y2989000000Z0
TGB101_500mX4196500000Y2990000000Z0;8.2665812508;50.0114379018;8.2631761904;50.0091376234;8.2630131313;50.0136319006;8.2699866357;50.0137380776;8.2701490409;50.0092437889;TGB101_1kmX4196000000Y2990000000Z0
TGB101_500mX4148000000Y3029500000Z0;7.5723033544;50.354053501;7.5689077295;50.3517328087;7.568677029;50.3562252368;7.5756993083;50.3563740923;7.5759293437;50.351881648;TGB101_1kmX4148000000Y3029000000Z0
TGB101_500mX4196000000Y2989500000Z0;8.2597714545;50.0068372424;8.2563670431;50.0045367587;8.2562033684;50.0090310309;8.2631761904;50.0091376234;8.2633392112;50.0046433397;TGB101_1kmX4196000000Y2989000000Z0
TGB101_500mX4200500000Y2987500000Z0;8.3231546044;49.9898016599;8.3197483578;49.9875030559;8.3195907163;49.991997456;8.3265611752;49.9921001612;8.3267181633;49.9876057499;TGB101_1kmX4200000000Y2987000000Z0
TGB101_500mX4195500000Y2979500000Z0;8.2560713187;49.9168438008;8.2526733869;49.9145431589;8.2525098278;49.9190375513;8.2594695735;49.9191443402;8.2596324819;49.9146499363;TGB101_1kmX4195000000Y2979000000Z0
TGB101_500mX4190000000Y2987000000Z0;8.1769590598;49.9830566958;8.1735602786;49.980753735;8.1733889598;49.9852478983;8.1803581649;49.9853595542;8.1805288307;49.9808653789;TGB101_1kmX4190000000Y2987000000Z0
TGB101_500mX4197000000Y2987000000Z0;8.2745262261;49.984577976;8.271122671;49.98227792;8.2709604945;49.9867722478;8.2779301054;49.9868779293;8.2780916288;49.9823835901;TGB101_1kmX4197000000Y2987000000Z0
TGB101_500mX4202000000Y2987500000Z0;8.3440651236;49.990107838;8.3406578562;49.9878098576;8.3405021747;49.9923042909;8.3474727153;49.9924057155;8.3476277434;49.9879112713;TGB101_1kmX4202000000Y2987000000Z0
TGB101_500mX4196500000Y2989500000Z0;8.2667439638;50.0069436156;8.2633392112;50.0046433397;8.2631761904;50.0091376234;8.2701490409;50.0092437889;8.2703114078;50.0047494938;TGB101_1kmX4196000000Y2989000000Z0
TGB101_500mX4190500000Y2988000000Z0;8.1835871945;49.9921564819;8.1801874589;49.989853723;8.1800167129;49.9943478853;8.1869872541;49.9944591385;8.1871573468;49.9899649642;TGB101_1kmX4190000000Y2988000000Z0
TGB101_500mX4181000000Y2986500000Z0;8.0517069028;49.9764839265;8.0483145793;49.9741772411;8.048131552;49.9786711864;8.0550995498;49.97879051;8.0552819244;49.9742965518;TGB101_1kmX4181000000Y2986000000Z0
TGB101_500mX4202500000Y2987500000Z0;8.3510353509;49.9902090437;8.3476277434;49.9879112713;8.3474727153;49.9924057155;8.3544432828;49.9925067133;8.3545976576;49.9880122582;TGB101_1kmX4202000000Y2987000000Z0
